#separator:tab
#html:true
#tags column:47
arranjar-se	arranjar-se	arranjar-se	arreglarse	/a.ʁɐ̃.ˈʒaɾ-sɨ/	/ɐ.ʁɐ.ˈɲaʁ sɨ/	v pron	vestir-se bem	get ready	/ɡɛt ˈrɛdi/	/ɡɛt ˈrɛdi/	v			arreglarse			v				se préparer			v		sich bereit machen					arreglar-se					prepararsi										Português::Curso::A1 Português::Vocabulario::Pessoas::Tempo_livre Português::Vocabulario::Tipo_Palavra::Verbos
afetado, afetada	afetado, afetada	afetado, afetada	"<img src=""Hitch 04.JPG"">"	/ɐ.fɨ.ˈta.du/ ,  /ɐ.fɨ.ˈta.dɐ/	/ afeˈtadu | afeˈtadɐ /			affected	/əˈfɛktəd/	/əˈfektɪd/				cursi, empalagoso							affecté					affektiert					afectat					affettato										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
afetuoso, afetuosa	afetuoso, afetuosa	afetuoso, afetuosa	"<img src=""Sasha, Connie, Jean, Marco.jpg"">"	/ɐ.fɨ.tu.ˈo.zu/ ,  /ɐ.fɨ.tu.ˈo.zɐ/	/ afetuˈɔzu | afetuˈɔzɐ /			affectionate	/əˈfɛkʃənət/	/əˈfekʃᵊnət/				afectuoso							affectueux					liebevoll					afectuós					affettuoso										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
agressivo, agressiva	agressivo, agressiva	agressivo, agressiva	"<img src=""Eren Brigento 02.JPG"">"	/ɐ.gɾɨ.ˈsi.vu/ ,  /ɐ.gɾɨ.ˈsi.vɐ/	/ aɡɾeˈsivu | aɡɾeˈsivɐ /			aggressive	/əˈɡɹɛsɪv/	/əˈɡresɪv/				agresivo							agressif					aggressiv					agressiu					aggressivo										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
aldrabão, aldrabona	aldrabão, aldrabona	aldrabão, aldrabona	"<img src=""Pixis_Chess_Wald.JPG"">"	/aɫ.dɾɐ.ˈbɐ̃w/ ,  /aɫ.dɾɐ.ˈbo.nɐ/	/ awdɾaˈbɐ̃w̃ | awdɾaˈbonɐ /			cheat	/ˈtʃit/	/ˈtʃiːt/				tramposo							escroc					Betrüger					trampos					imbroglione										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
altivo, altiva	altivo, altiva	altivo, altiva	"<img src=""Oulo_Face.JPG"">"	/aɫ.ˈti.vu/ ,  /aɫ.ˈti.vɐ/	/ awˈtʃivu | awˈtʃivɐ /			haughty	/ˈhɔti/	/ˈhɔːti/				altivo							hautain					hochmütig					altívolo					altezzoso										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
altruista	altruista	altruista	"<img src=""Sasha_Braun_Family.JPG"">"	/aɫ.ˈtɾujʃ.tɐ/	/ awˈtɾujstɐ /			altruistic	/ˌæltɹuˈɪstɪk/	/ˌæltruˈɪstɪk/				altruista							altruiste					altruistisch					altruista					altruista										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
amável	amável	amável	"<img src=""Krista Feeding Sasha.gif"">"	/ɐ.ˈma.vɛɫ/	/ ɐˈmavɛw /			lovable	/ˈləvəbəl/	/ˈlʌvəbᵊl/				amable							aimable					liebenswert					amable					amabile										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
antiquado, antiquada	antiquado, antiquada	antiquado, antiquada		/ɐ̃.ti.ˈkwa.du/ ,  /ɐ̃.ti.ˈkwa.dɐ/	/ ɐ̃tʃiˈkwadu | ɐ̃tʃiˈkwadɐ /			old-fashioned	/ˈoʊldˈfæʃənd/	/ˌəʊldˈfæʃᵊnd/				anticuado							démodé					altmodisch					anticuat					antiquato										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
aprumado, aprumada	aprumado, aprumada	aprumado, aprumada	"<img src=""Levi_Cat.jpg"">"	/ɐ.pɾu.ˈma.du/ ,  /ɐ.pɾu.ˈma.dɐ/	/ apɾuˈmadu | apɾuˈmadɐ /			tidy	/ˈtaɪdi/	/ˈtaɪdi/				arreglado							soigné					ordentlich					endreçat					ordinato										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
áspero, áspera	áspero, áspera	áspero, áspera	"<img src=""Kenny Ackerman.jpg"">"	/ˈaʃ.pɨ.ɾu/ ,  /ˈaʃ.pɨ.ɾɐ/	/ ˈaspeɾu | ˈaspeɾɐ /			rough	/ˈɹəf/	/ˈrʌf/				áspero							âpre					rau					aspra					ruvido										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
astuto, astuta	astuto, astuta	astuto, astuta	"<img src=""Erwin_01.jpg"">"	/ɐʃ.ˈtu.tu/ ,  /ɐʃ.ˈtu.tɐ/	/ asˈtutu | asˈtutɐ /			clever	/ˈklɛvə˞/	/ˈklevə/				astuto							astucieux					schlau					astut					astuto										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
atento, atenta	atento, atenta	atento, atenta	"<img src=""Franz Hannah 04.png"">"	/ɐ.ˈtẽ.tu/ ,  /ɐ.ˈtẽ.tɐ/	/ aˈtẽtu | aˈtẽtɐ /			attentive	/əˈtɛntɪv/	/əˈtentɪv/				atento							attentif					aufmerksam					atent					attento										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
atrasado, atrasada	atrasado, atrasada	atrasado, atrasada		/ɐ.tɾɐ.ˈza.du/ ,  /ɐ.tɾɐ.ˈza.dɐ/	/ atɾaˈzadu | atɾaˈzadɐ /			late	/ˈleɪt/	/ˈleɪt/				atrasado						en retard						spät					vençut					in ritardo										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tempo Português::Vocabulario::Tipo_Palavra::Adjetivos
audacioso, audaciosa	audacioso, audaciosa	audacioso, audaciosa	"<img src=""Sasha_Eating_POtato.gif"">"	/aw.dɐ.si.ˈo.zu/ ,  /aw.dɐ.si.ˈo.zɐ/	/ awdasiˈɔzu | awdasiˈɔzɐ /			audacious	/ɔˈdeɪʃəs/	/ɔːˈdeɪʃəs/				audaz						audacieux						wagemutig					agasarat					audace										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
avançado, avançada	avançado, avançada	avançado, avançada		/ɐ.vɐ̃.ˈsa.du/ ,  /ɐ.vɐ̃.ˈsa.dɐ/	/ avɐ̃ˈsadu | avɐ̃ˈsadɐ /			advanced	/ədˈvænst/	/ədˈvɑːnst/				avanzado							avancé					fortschrittlich					avançat					avanzato										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
avarento, avarenta	avarento, avarenta	avarento, avarenta	"<img src=""Sasha Meat Crazy Connie Jean.JPG"">"	/ɐ.vɐ.ˈɾẽ.tu/ ,  /ɐ.vɐ.ˈɾẽ.tɐ/	/ avaˈɾẽtu | avaˈɾẽtɐ /			greedy	/ˈɡɹidi/	/ˈɡriːdi/				avaro							avare					geizig					avar					avaro										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
bem-disposto, bem-disposta	bem-disposto, bem-disposta	bem-disposto, bem-disposta	"<img src=""_bem-disposta_acordar.JPG"">"	/bɐ̃j-dɨʃ.ˈpoʃ.tu/ ,  /bɐ̃j-dɨʃ.ˈpoʃ.tɐ/	/ bẽdʒisˈpɔstu | bẽdʒisˈpɔstɐ /	adj m, adj f	<div>1.&nbsp;Que&nbsp;tem&nbsp;boa&nbsp;disposição&nbsp;ou&nbsp;bom&nbsp;humor.</div><div>2.&nbsp;Que&nbsp;está&nbsp;bem&nbsp;de&nbsp;saúde.</div>	good-spirited	/ˈɡʊdˈspɪrətəd/	/ˈɡʊdˈspɪrɪtɪd/				con ánimos (salud), alegre							de bonne humeur					fröhlich					bendispost					ben disposto										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Carácter Português::Vocabulario::Pessoas::Corpo_Saude Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
bem-humorado, bem-humorada	bem-humorado, bem-humorada	bem-humorado, bem-humorada	"<img src=""Historia Hits Levi.gif"">"	/bɐ̃j-u.mu.ˈɾa.du/ ,  /bɐ̃j-u.mu.ˈɾa.dɐ/	/ bẽumoˈɾadu | bẽumoˈɾadɐ /			good-humored	/ˈɡʊdˈhjumə˞d/	/ˈɡʊdˈhjuːməd/				bienhumorado							de bonne humeur					gut gelaunt					benhumorat					buon umore										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
bem-intencionado, bem-intencionada	bem-intencionado, bem-intencionada	bem-intencionado, bem-intencionada		/bɐ̃j-ĩ.tẽ.si.u.ˈna.du/ ,  /bɐ̃j-ĩ.tẽ.si.u.ˈna.dɐ/	/ bẽĩtẽsioˈnadu | bẽĩtẽsioˈnadɐ /			well-meaning	/ˌwɛlˈminɪŋ/	/ˈwelˈmiːnɪŋ/				bien intencionado							bien intentionné					gut gemeint					bona intenció					bene intenzionato										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
bom, boa	bom, boa	bom, boa		/bõ/ ,  /ˈbo.ɐ/	/ ˈbõ | ˈboɐ /			good	/ˈɡʊd/	/ˈɡʊd/				bueno							bon					gut					bo					buono										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
bonacheirão, bonacheirona	bonacheirão, bonacheirona	bonacheirão, bonacheirona		/bu.nɐ.ʃɐj.ˈɾɐ̃w/ ,  /bu.nɐ.ʃɐj.ˈɾo.nɐ/	/ bonaʃejˈɾɐ̃w̃ | bonaʃejˈɾonɐ /			jovial	/ˈdʒoʊviəl/	/ˈdʒəʊviəl/				bonachón							bon enfant					gutmütig					bon xic					bonaccione										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
bondoso, bondosa	bondoso, bondosa	bondoso, bondosa		/bõ.ˈdo.zu/ ,  /bõ.ˈdo.zɐ/	/ bõˈdɔzu | bõˈdɔzɐ /			kind	/ˈkaɪnd/	/ˈkaɪnd/				bondadoso							bienveillant					gütig					bondadós					gentile										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
briguento, briguenta	briguento, briguenta	briguento, briguenta	"<img src=""Jean vs Eren.gif"">"	/bɾi.ˈgẽ.tu/ ,  /bɾi.ˈgẽ.tɐ/	/ bɾiˈɡẽtu | bɾiˈɡẽtɐ /			quarrelsome	/ˈkwɔrəlsəm/	/ˈkwɒrᵊlsəm/				pendenciero							bagarreur					streitsüchtig					pelaiquer					attaccabrighe										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
bruto, bruta	bruto, bruta	bruto, bruta		/ˈbɾu.tu/ ,  /ˈbɾu.tɐ/	/ ˈbɾutu | ˈbɾutɐ /			rude	/ˈɹud/	/ˈruːd/				bruto							brutal					roh					brutal					grezzo										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
cabelo encaracolado	cabelo encaracolado	o cabelo encaracolado	"<img src=""_cabelo_encaracolado.JPG"">"	/u kɐ.ˈbe.ɫu ẽ.kɐ.ɾɐ.ku.ˈɫa.du/	/ kaˈbɛlu ẽkaɾakoˈladu /			curly hair	/ˈkɜ˞li ˈhɛr/	/ˈkɜːli ˈheə/				cabello rizado							cheveux bouclés					lockiges Haar					cabell arrissat					capelli ricci										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao::Cabelo Português::Vocabulario::Tipo_Palavra::Adjetivos
cabelo ondulado	cabelo ondulado	o cabelo ondulado	"<img src=""Hitch.JPG"">"	/u kɐ.ˈbe.ɫu õ.du.ˈɫa.du/	/ kaˈbɛlu õduˈladu /			wavy hair	/ˈweɪvi ˈhɛr/	/ˈweɪvi ˈheə/				cabello ondulado							cheveux ondulés					gewelltes Haar					cabell ondulat					capelli mossi										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Descripçao::Cabelo Português::Vocabulario::Tipo_Palavra::Adjetivos
calmo, calma	calmo, calma	calmo, calma	"<img src=""SNK Beach.jpg"">"	/ˈkaɫ.mu/ ,  /ˈkaɫ.mɐ/	/ ˈkawmu | ˈkawmɐ /			calm	/ˈkɑm/	/ˈkɑːm/				calm							tranquille					ruhig					calma					calmo										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
canalha	canalha	canalha	"<img src=""Kenny_Teaching.jpg"">"	/kɐ.ˈna.ʎɐ/	/ kɐˈnaʎɐ /			scoundrel	/ˈskaʊndɹəl/	/ˈskaʊndrəl/				canalla							coquin					Schurke					canalla					canaglia										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
cándido, cándida	cándido, cándida	cándido, cándida	"<img src=""Marco_Bott_02.JPG"">"	/kɐ̃.ˈdi.du/ ,  /kɐ̃.ˈdi.dɐ/	/ ˈkandʒidu | ˈkandʒidɐ /			naive	/nɑˈiv/	/naɪˈiːv/				cándido							candide					naiv					càndid					candido										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
carinhoso, carinhosa	carinhoso, carinhosa	carinhoso, carinhosa		/kɐ.ɾi.ˈɲo.zu/ ,  /kɐ.ɾi.ˈɲo.zɐ/	/ kaɾiˈɲɔzu | kaɾiˈɲɔzɐ /			affectionate	/əˈfɛkʃənət/	/əˈfekʃᵊnət/				cariñoso							affectueux					liebevoll					carinós					affettuoso										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
cauto, cauta	cauto, cauta	cauto, cauta		/ˈkaw.tu/ ,  /ˈkaw.tɐ/	/ ˈkawtu | ˈkawtɐ /			cautious	/ˈkɔʃəs/	/ˈkɔːʃəs/				cauto							circonspect					vorsichtig					caut					cauto										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
chique	chique	chique		/ˈʃi.kɨ/	/ ˈʃiki /			chic	/ˈʃik/	/ˈʃiːk/				elegante							chic					schick					xaque					elegante										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
cobarde	cobarde	cobarde		/ku.ˈbaɾ.dɨ/	/ koˈbaʁdʒi /			cowardly	/ˈkaʊə˞dli/	/ˈkaʊədli/				cobarde							lâche					feige					covat					codardo										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
confiante (pessoa)	confiante	confiante		/kõ.fi.ˈɐ̃.tɨ/	/ kõfiˈɐ̃tʃi /			confident	/ˈkɑnfədənt/	/ˈkɒnfɪdᵊnt/				seguro,a (de sí mismo,a)							confiant					selbstbewusst					confident					confidente										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Carácter Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
conservador, conservadora	conservador, conservadora	conservador, conservadora		/kõ.sɨɾ.vɐ.ˈdoɾ/ ,  /kõ.sɨɾ.vɐ.ˈdo.ɾɐ/	/ kõseʁvaˈdoʁ | kõseʁvaˈdɔɾɐ /			conservative	/kənˈsɜ˞vətɪv/	/kənˈsɜːvətɪv/				conservador							conservateur					konservativ					conservador					conservatore										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
corajoso, corajosa	corajoso, corajosa	corajoso, corajosa	"<img src=""sasha archer.JPG"">"	/ku.ɾɐ.ˈʒo.zu/ ,  /ku.ɾɐ.ˈʒo.zɐ/	/ koɾaˈʒɔzu | koɾaˈʒɔzɐ /			courageous	/kə˞ˈɹeɪdʒəs/	/kəˈreɪdʒəs/				"valiente (con ""c"")"							courageux					mutig					valent					coraggioso										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
cruel	cruel	cruel	"<img src=""Faye_Gone.png"">"	/kɾu.ˈɛɫ/	/ kɾuˈɛw /			cruel	/ˈkɹul/	/ˈkruːəl/				cruel							cruel					grausam					cruel					crudele										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
cuidadoso, cuidadosa	cuidadoso, cuidadosa	cuidadoso, cuidadosa		/kuj.dɐ.ˈdo.zu/ ,  /kuj.dɐ.ˈdo.zɐ/	/ kujdaˈdɔzu | kujdaˈdɔzɐ /			careful	/ˈkɛrfəl/	/ˈkeəfᵊl/				cuidadoso							prudent					vorsichtig					cuidadós					attento										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
decidido, decidida	decidido, decidida	decidido, decidida		/dɨ.sɨ.ˈdi.du/ ,  /dɨ.sɨ.ˈdi.dɐ/	/ desiˈdʒidu | desiˈdʒidɐ /			decisive	/dɪˈsaɪsɪv/	/dɪˈsaɪsɪv/				decidido							décidé					entschlossen					decidit					deciso										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
desabrido, desabrida	desabrido, desabrida	desabrido, desabrida		/dɨ.zɐ.ˈbɾi.du/ ,  /dɨ.zɐ.ˈbɾi.dɐ/	/ dezaˈbɾidu | dezaˈbɾidɐ /			rude	/ˈɹud/	/ˈruːd/				rudo							sévère					unhöflich					rude					ruvido										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
desafetado, desafetada	desafetado, desafetada	desafetado, desafetada		/dɨ.zɐ.fɨ.ˈta.du/ ,  /dɨ.zɐ.fɨ.ˈta.dɐ/	/ dezafeˈtadu | dezafeˈtadɐ /			unaffected	/ˌənəˈfɛktəd/	/ˌʌnəˈfektɪd/				desafectado							désaffecté					unbeeindruckt					desafectat					indifferente										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
desajeitado, desajeitada	desajeitado, desajeitada	desajeitado, desajeitada		/dɨ.zɐ.ʒɐj.ˈta.du/ ,  /dɨ.zɐ.ʒɐj.ˈta.dɐ/	/ dezaʒejˈtadu | dezaʒejˈtadɐ /			awkward	/ˈɔkwə˞d/	/ˈɔːkwəd/				torpe							maladroit					ungeschickt					torpe					goffo										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
desatento, desatenta	desatento, desatenta	desatento, desatenta		/dɨ.zɐ.ˈtẽ.tu/ ,  /dɨ.zɐ.ˈtẽ.tɐ/	/ dezaˈtẽtu | dezaˈtẽtɐ /			inattentive	/ˌɪnəˈtɛntɪv/	/ˌɪnəˈtentɪv/				desatento							inattentif					unaufmerksam					desatent					disattento										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
descuidado, descuidada	descuidado, descuidada	descuidado, descuidada		/dɨʃ.kuj.ˈda.du/ ,  /dɨʃ.kuj.ˈda.dɐ/	/ deskujˈdadu | deskujˈdadɐ /			careless	/ˈkɛrləs/	/ˈkeələs/				descuidado							négligent					unvorsichtig					descuidat					sciatto										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
deselegante, deselegante	deselegante, deselegante	deselegante, deselegante		/dɨ.zɨ.ɫɨ.ˈgɐ̃.tɨ/ ,  /dɨ.zɨ.ɫɨ.ˈgɐ̃.tɨ/	/ dezeleˈɡɐ̃tʃi | dezeleˈɡɐ̃tʃi /			inelegant	/ɪnˈɛləɡənt/	/ɪˈnelɪɡᵊnt/				deselegante							désélegant					unelegant					desnelegant					inelegante										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
desinteressado, desinteressada	desinteressado, desinteressada	desinteressado, desinteressada		/dɨ.zĩ.tɨ.ɾɨ.ˈsa.du/ ,  /dɨ.zĩ.tɨ.ɾɨ.ˈsa.dɐ/	/ dezĩteɾeˈsadu | dezĩteɾeˈsadɐ /			selfless	/ˈsɛlfləs/	/ˈselfləs/				desinteresado							désintéressé					uneigennützig					desinteressat					disinteressato										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
desleal	desleal	desleal		/dɨ.ʒɫi.ˈaɫ/	/ deʒliˈaw /			disloyal	/dɪsˈlɔɪəl/	/ˌdɪsˈlɔɪəl/				desleal							déloyal					unloyal					deslleial					disleale										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
desleixado, desleixada	desleixado, desleixada	desleixado, desleixada		/dɨ.ʒɫɐj.ˈʃa.du/ ,  /dɨ.ʒɫɐj.ˈʃa.dɐ/	/ deʒlejˈʃadu | deʒlejˈʃadɐ /			sloppy	/ˈslɑpi/	/ˈslɒpi/				despreocupado							négligé					schlampig					desatés					sciatto										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
desobediente	desobediente	desobediente		/dɨ.zu.bɨ.di.ˈẽ.tɨ/	/ dezobedʒiˈẽtʃi /			disobedient	/ˌdɪsəˈbidiənt/	/ˌdɪsəˈbiːdiənt/				desobediente							désobéissant					ungehorsam					desobedient					disobbediente										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
desonesto, desonesta	desonesto, desonesta	desonesto, desonesta		/dɨ.zu.ˈneʃ.tu/ ,  /dɨ.zu.ˈneʃ.tɐ/	/ dezoˈnɛstu | dezoˈnɛstɐ /			dishonest	/dɪsˈɑnəst/	/dɪˈsɒnɪst/				deshonesto							déshonnête					unaufrichtig					dishonest					disonesto										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
despistado, despistada	despistado, despistada	despistado, despistada		/dɨʃ.pɨʃ.ˈta.du/ ,  /dɨʃ.pɨʃ.ˈta.dɐ/	/ despisˈtadu | despisˈtadɐ /			clueless	/ˈkluləs/	/ˈkluːləs/				despistado							étourdi					ahnungslos					distret					distratto										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
desprecavido, desprecavida	desprecavido, desprecavida	desprecavido, desprecavida		/dɨʃ.pɾɨ.kɐ.ˈvi.du/ ,  /dɨʃ.pɾɨ.kɐ.ˈvi.dɐ/	/ despɾekaˈvidu | despɾekaˈvidɐ /			unwary	/ˌənˈwɛri/	/ʌnˈweəri/				desprevenido							insouciant					sorglos					desprevingut					spensierato										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
destemido, destemida	destemido, destemida	destemido, destemida		/dɨʃ.tɨ.ˈmi.du/ ,  /dɨʃ.tɨ.ˈmi.dɐ/	/ desteˈmidu | desteˈmidɐ /			fearless	/ˈfɪrləs/	/ˈfɪələs/				impávido							intrepide					furchtlos					sense por					intrepido										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
desumano, desumana	desumano, desumana	desumano, desumana		/dɨ.zu.ˈmɐ.nu/ ,  /dɨ.zu.ˈmɐ.nɐ/	/ dezuˈmɐnu | dezuˈmɐnɐ /			inhumane	/ˌɪnhjuˈmeɪn/	/ˌɪnhjʊˈmeɪn/				inhumano							inhumain					inhuman					inhumà disumano															Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
determinado, determinada	determinado, determinada	determinado, determinada		/dɨ.tɨɾ.mi.ˈna.du/ ,  /dɨ.tɨɾ.mi.ˈna.dɐ/	/ deteʁmiˈnadu | deteʁmiˈnadɐ /			determined	/dɪˈtɜ˞mənd/	/dɪˈtɜːmɪnd/				determinado							déterminé					bestimmt					determinat					determinato										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
diligente	diligente	diligente		/dɨ.ɫɨ.ˈʒẽ.tɨ/	/ dʒiliˈʒẽtʃi /			diligent	/ˈdɪlədʒənt/	/ˈdɪlɪdʒᵊnt/				diligente							diligent					fleißig					diligent					diligente										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
dinâmico, dinâmica	dinâmico, dinâmica	dinâmico, dinâmica		/di.ˈnɐ.mi.ku/ ,  /di.ˈnɐ.mi.kɐ/	/ dʒiˈnɐmiku | dʒiˈnɐmikɐ /			dynamic	/daɪˈnæmɪk/	/daɪˈnæmɪk/				dinámico							dynamique					dynamisch					dinàmic					dinamico										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
